batch,dataset,arch,block,d_model,grid,seq_len,exp_id,group,seed,epochs,tail_val_acc,tail_train_acc,final_val_acc,param_count,source
earlier,cifar10,channel_split,mamba,256,32,1024,channel_same_row_4,GEO_S,2,100,75.628,90.9031,75.65,282890,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_same_row_4,GEO_S,3,100,76.265,91.4431,76.32,282890,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_same_row_4,GEO_S,4,100,76.923,92.0047,77.01,282890,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_rand_perm_4,RND_D,0,100,64.8065,76.5117,64.87,282890,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_rand_perm_4,RND_D,1,100,64.1655,75.1708,64.16,282890,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_rand_perm_4,RND_D,2,100,64.6215,77.9427,64.49,282890,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_rand_perm_4,RND_D,3,100,65.0295,75.7178,65.14,282890,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_rand_perm_4,RND_D,4,100,64.5995,75.4539,64.54,282890,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_same_perm_4,RND_S,0,100,64.062,75.7218,64.08,282890,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_same_perm_4,RND_S,1,100,63.9215,74.7945,63.96,282890,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_same_perm_4,RND_S,2,100,64.4345,77.4341,64.45,282890,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_same_perm_4,RND_S,3,100,64.3855,75.55,64.4,282890,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_same_perm_4,RND_S,4,100,65.8595,75.6192,65.83,282890,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,mamba,256,8,64,channel_real_4dir,GEO_DIV,0,100,81.526,90.0113,81.66,282122,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,mamba,256,8,64,channel_real_4dir,GEO_DIV,1,100,82.2855,90.3719,82.41,282122,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,mamba,256,8,64,channel_real_4dir,GEO_DIV,2,100,81.7095,90.1887,81.81,282122,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,mamba,256,8,64,channel_real_4dir,GEO_DIV,3,100,81.6405,90.3567,81.76,282122,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,mamba,256,8,64,channel_real_4dir,GEO_DIV,4,100,82.199,90.7693,82.27,282122,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,mamba,256,8,64,channel_same_row_4,GEO_S,0,100,81.9155,90.3102,82.14,282122,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,mamba,256,8,64,channel_same_row_4,GEO_S,1,100,81.693,89.8307,81.86,282122,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,mamba,256,8,64,channel_same_row_4,GEO_S,2,100,81.2115,89.9051,81.39,282122,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,mamba,256,8,64,channel_same_row_4,GEO_S,3,100,81.156,90.6019,81.21,282122,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,mamba,256,8,64,channel_same_row_4,GEO_S,4,100,81.7785,90.9668,81.74,282122,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,mamba,256,8,64,channel_rand_perm_4,RND_D,0,100,77.5795,82.8939,77.66,282122,csplit_d256_seed0/stage1_results.json
